row number #1,row number #2,row number #3,row number #4,date #1,date #2,date #3,date # 4,date # 5,date # 6,date # 7,day of week #1,day of week #2,day of week #3,short string #1,short string #2,short string #3,short string #4,short string #5,short string #6,gender #1,gender #2,gender #3,row number #1 2,row number #2 2,row number #3 2,row number #4 2,date #1 2,date #2 2,date #3 2,date # 4 2,date # 5 2,date # 6 2,date # 7 2,day of week #1 2,day of week #2 2,day of week #3 2,short string #1 2,short string #2 2,short string #3 2,short string #4 2,short string #5 2,short string #6 2,gender #1 2,gender #2 2,gender #3 2,row number #1 3,row number #2 3,row number #3 3,row number #4 3,date #1 3,date #2 3,date #3 3,date # 4 3,date # 5 3,date # 6 3,date # 7 3,day of week #1 3,day of week #2 3,day of week #3 3,short string #1 3,short string #2 3,short string #3 3,short string #4 3,short string #5 3,short string #6 3,gender #1 3,gender #2 3,gender #3 3
88,088,100088,Record # :088,3/29/13,11/12/13,11/12/13,3-29-13,11-12-13,11-12-13,2013-03-29,Friday,Fri,Friday,AAAA,MMMM,aaaa,mmmm,AAAA,,f,g,girl,88,088,100088,Record # :088,3/29/13,11/12/13,11/12/13,3-29-13,11-12-13,11-12-13,2013-03-29,Friday,Fri,Friday,AAAA,MMMM,aaaa,mmmm,AAAA,,f,g,girl,88,088,100088,Record # :088,3/29/13,11/12/13,11/12/13,3-29-13,11-12-13,11-12-13,2013-03-29,Friday,Fri,Friday,AAAA,MMMM,aaaa,mmmm,AAAA,,f,g,girl
89,089,100089,Record # :089,3/30/13,11/12/13,11/12/13,3-30-13,11-12-13,not a date,2013-03-30,Saturday,Sat,Saturday,AAAA,NNNN,aaaa,nnnn,AAAA,,m,m,man,89,089,100089,Record # :089,3/30/13,11/12/13,11/12/13,3-30-13,11-12-13,not a date,2013-03-30,Saturday,Sat,Saturday,AAAA,NNNN,aaaa,nnnn,AAAA,,m,m,man,89,089,100089,Record # :089,3/30/13,11/12/13,11/12/13,3-30-13,11-12-13,not a date,2013-03-30,Saturday,Sat,Saturday,AAAA,NNNN,aaaa,nnnn,AAAA,,m,m,man
90,090,100090,Record # :090,3/31/13,11/12/13,not a date,3-31-13,11-12-13,not a date,2013-03-31,Sunday,Sun,BadDay,AAAA,OOOO,aaaa,oooo,AAAA,,f,f,friend,90,090,100090,Record # :090,3/31/13,11/12/13,not a date,3-31-13,11-12-13,not a date,2013-03-31,Sunday,Sun,BadDay,AAAA,OOOO,aaaa,oooo,AAAA,,f,f,friend,90,090,100090,Record # :090,3/31/13,11/12/13,not a date,3-31-13,11-12-13,not a date,2013-03-31,Sunday,Sun,BadDay,AAAA,OOOO,aaaa,oooo,AAAA,,f,f,friend
91,091,100091,Record # :091,4/1/13,11/12/13,11/12/13,4-1-13,11-12-13,11-12-13,2013-04-01,Monday,Mon,Monday,AAAA,PPPP,aaaa,pppp,AAAA,,m,b,m,91,091,100091,Record # :091,4/1/13,11/12/13,11/12/13,4-1-13,11-12-13,11-12-13,2013-04-01,Monday,Mon,Monday,AAAA,PPPP,aaaa,pppp,AAAA,,m,b,m,91,091,100091,Record # :091,4/1/13,11/12/13,11/12/13,4-1-13,11-12-13,11-12-13,2013-04-01,Monday,Mon,Monday,AAAA,PPPP,aaaa,pppp,AAAA,,m,b,m
92,092,100092,Record # :092,4/2/13,11/12/13,11/12/13,4-2-13,11-12-13,11-12-13,2013-04-02,Tuesday,Tue,Tuesday,AAAA,QQQQ,aaaa,qqqq,AAAA,,f,g,f,92,092,100092,Record # :092,4/2/13,11/12/13,11/12/13,4-2-13,11-12-13,11-12-13,2013-04-02,Tuesday,Tue,Tuesday,AAAA,QQQQ,aaaa,qqqq,AAAA,,f,g,f,92,092,100092,Record # :092,4/2/13,11/12/13,11/12/13,4-2-13,11-12-13,11-12-13,2013-04-02,Tuesday,Tue,Tuesday,AAAA,QQQQ,aaaa,qqqq,AAAA,,f,g,f
93,093,100093,Record # :093,4/3/13,11/12/13,11/12/13,4-3-13,11-12-13,11-12-13,2013-04-03,Wednesday,Wed,Wednesday,AAAA,RRRR,aaaa,rrrr,AAAA,,m,m,b,93,093,100093,Record # :093,4/3/13,11/12/13,11/12/13,4-3-13,11-12-13,11-12-13,2013-04-03,Wednesday,Wed,Wednesday,AAAA,RRRR,aaaa,rrrr,AAAA,,m,m,b,93,093,100093,Record # :093,4/3/13,11/12/13,11/12/13,4-3-13,11-12-13,11-12-13,2013-04-03,Wednesday,Wed,Wednesday,AAAA,RRRR,aaaa,rrrr,AAAA,,m,m,b
94,094,100094,Record # :094,4/4/13,11/12/13,11/12/13,4-4-13,11-12-13,11-12-13,2013-04-04,Thursday,Thu,Thursday,AAAA,SSSS,aaaa,ssss,AAAA,,f,f,g,94,094,100094,Record # :094,4/4/13,11/12/13,11/12/13,4-4-13,11-12-13,11-12-13,2013-04-04,Thursday,Thu,Thursday,AAAA,SSSS,aaaa,ssss,AAAA,,f,f,g,94,094,100094,Record # :094,4/4/13,11/12/13,11/12/13,4-4-13,11-12-13,11-12-13,2013-04-04,Thursday,Thu,Thursday,AAAA,SSSS,aaaa,ssss,AAAA,,f,f,g
95,095,100095,Record # :095,4/5/13,11/12/13,11/12/13,4-5-13,11-12-13,11-12-13,2013-04-05,Friday,Fri,Friday,AAAA,TTTT,aaaa,tttt,AAAA,,m,b,male,95,095,100095,Record # :095,4/5/13,11/12/13,11/12/13,4-5-13,11-12-13,11-12-13,2013-04-05,Friday,Fri,Friday,AAAA,TTTT,aaaa,tttt,AAAA,,m,b,male,95,095,100095,Record # :095,4/5/13,11/12/13,11/12/13,4-5-13,11-12-13,11-12-13,2013-04-05,Friday,Fri,Friday,AAAA,TTTT,aaaa,tttt,AAAA,,m,b,male
96,096,100096,Record # :096,4/6/13,11/12/13,11/12/13,4-6-13,11-12-13,11-12-13,2013-04-06,Saturday,Sat,Saturday,AAAA,UUUU,aaaa,uuuu,AAAA,,f,g,female,96,096,100096,Record # :096,4/6/13,11/12/13,11/12/13,4-6-13,11-12-13,11-12-13,2013-04-06,Saturday,Sat,Saturday,AAAA,UUUU,aaaa,uuuu,AAAA,,f,g,female,96,096,100096,Record # :096,4/6/13,11/12/13,11/12/13,4-6-13,11-12-13,11-12-13,2013-04-06,Saturday,Sat,Saturday,AAAA,UUUU,aaaa,uuuu,AAAA,,f,g,female
97,097,100097,Record # :097,4/7/13,11/12/13,11/12/13,4-7-13,11-12-13,11-12-13,2013-04-07,Sunday,Sun,Sunday,AAAA,VVVV,aaaa,vvvv,AAAA,,m,m,boy,97,097,100097,Record # :097,4/7/13,11/12/13,11/12/13,4-7-13,11-12-13,11-12-13,2013-04-07,Sunday,Sun,Sunday,AAAA,VVVV,aaaa,vvvv,AAAA,,m,m,boy,97,097,100097,Record # :097,4/7/13,11/12/13,11/12/13,4-7-13,11-12-13,11-12-13,2013-04-07,Sunday,Sun,Sunday,AAAA,VVVV,aaaa,vvvv,AAAA,,m,m,boy
98,098,100098,Record # :098,4/8/13,11/12/13,11/12/13,4-8-13,11-12-13,11-12-13,2013-04-08,Monday,Mon,Monday,AAAA,WWWW,aaaa,wwww,AAAA,,f,f,girl,98,098,100098,Record # :098,4/8/13,11/12/13,11/12/13,4-8-13,11-12-13,11-12-13,2013-04-08,Monday,Mon,Monday,AAAA,WWWW,aaaa,wwww,AAAA,,f,f,girl,98,098,100098,Record # :098,4/8/13,11/12/13,11/12/13,4-8-13,11-12-13,11-12-13,2013-04-08,Monday,Mon,Monday,AAAA,WWWW,aaaa,wwww,AAAA,,f,f,girl
99,099,100099,Record # :099,4/9/13,11/12/13,11/12/13,4-9-13,11-12-13,not a date,2013-04-09,Tuesday,Tue,Tuesday,AAAA,XXXX,aaaa,xxxx,AAAA,,m,b,man,99,099,100099,Record # :099,4/9/13,11/12/13,11/12/13,4-9-13,11-12-13,not a date,2013-04-09,Tuesday,Tue,Tuesday,AAAA,XXXX,aaaa,xxxx,AAAA,,m,b,man,99,099,100099,Record # :099,4/9/13,11/12/13,11/12/13,4-9-13,11-12-13,not a date,2013-04-09,Tuesday,Tue,Tuesday,AAAA,XXXX,aaaa,xxxx,AAAA,,m,b,man
100,100,100100,Record # :100,4/10/13,11/12/13,not a date,4-10-13,11-12-13,not a date,2013-04-10,Wednesday,Wed,BadDay,AAAA,YYYY,aaaa,yyyy,notuc,,f,g,friend,100,100,100100,Record # :100,4/10/13,11/12/13,not a date,4-10-13,11-12-13,not a date,2013-04-10,Wednesday,Wed,BadDay,AAAA,YYYY,aaaa,yyyy,notuc,,f,g,friend,100,100,100100,Record # :100,4/10/13,11/12/13,not a date,4-10-13,11-12-13,not a date,2013-04-10,Wednesday,Wed,BadDay,AAAA,YYYY,aaaa,yyyy,notuc,,f,g,friend
1,001,100001,Record # :001,1/1/13,11/12/13,11/12/13,1-1-13,11-12-13,11-12-13,2013-01-01,Tuesday,Tue,Tuesday,AAAA,AAAA,aaaa,aaaa,AAAA,,m,m,m,1,001,100001,Record # :001,1/1/13,11/12/13,11/12/13,1-1-13,11-12-13,11-12-13,2013-01-01,Tuesday,Tue,Tuesday,AAAA,AAAA,aaaa,aaaa,AAAA,,m,m,m,1,001,100001,Record # :001,1/1/13,11/12/13,11/12/13,1-1-13,11-12-13,11-12-13,2013-01-01,Tuesday,Tue,Tuesday,AAAA,AAAA,aaaa,aaaa,AAAA,,m,m,m
2,002,100002,Record # :002,1/2/13,11/12/13,11/12/13,1-2-13,11-12-13,11-12-13,2013-01-02,Wednesday,Wed,Wednesday,AAAA,BBBB,aaaa,bbbb,AAAA,,f,f,f,2,002,100002,Record # :002,1/2/13,11/12/13,11/12/13,1-2-13,11-12-13,11-12-13,2013-01-02,Wednesday,Wed,Wednesday,AAAA,BBBB,aaaa,bbbb,AAAA,,f,f,f,2,002,100002,Record # :002,1/2/13,11/12/13,11/12/13,1-2-13,11-12-13,11-12-13,2013-01-02,Wednesday,Wed,Wednesday,AAAA,BBBB,aaaa,bbbb,AAAA,,f,f,f
3,003,100003,Record # :003,1/3/13,11/12/13,11/12/13,1-3-13,11-12-13,11-12-13,2013-01-03,Thursday,Thu,Thursday,AAAA,CCCC,aaaa,cccc,AAAA,,m,b,b,3,003,100003,Record # :003,1/3/13,11/12/13,11/12/13,1-3-13,11-12-13,11-12-13,2013-01-03,Thursday,Thu,Thursday,AAAA,CCCC,aaaa,cccc,AAAA,,m,b,b,3,003,100003,Record # :003,1/3/13,11/12/13,11/12/13,1-3-13,11-12-13,11-12-13,2013-01-03,Thursday,Thu,Thursday,AAAA,CCCC,aaaa,cccc,AAAA,,m,b,b
4,004,100004,Record # :004,1/4/13,11/12/13,11/12/13,1-4-13,11-12-13,11-12-13,2013-01-04,Friday,Fri,Friday,AAAA,DDDD,aaaa,dddd,AAAA,,f,g,g,4,004,100004,Record # :004,1/4/13,11/12/13,11/12/13,1-4-13,11-12-13,11-12-13,2013-01-04,Friday,Fri,Friday,AAAA,DDDD,aaaa,dddd,AAAA,,f,g,g,4,004,100004,Record # :004,1/4/13,11/12/13,11/12/13,1-4-13,11-12-13,11-12-13,2013-01-04,Friday,Fri,Friday,AAAA,DDDD,aaaa,dddd,AAAA,,f,g,g
5,005,100005,Record # :005,1/5/13,11/12/13,11/12/13,1-5-13,11-12-13,11-12-13,2013-01-05,Saturday,Sat,Saturday,AAAA,EEEE,aaaa,eeee,AAAA,,m,m,male,5,005,100005,Record # :005,1/5/13,11/12/13,11/12/13,1-5-13,11-12-13,11-12-13,2013-01-05,Saturday,Sat,Saturday,AAAA,EEEE,aaaa,eeee,AAAA,,m,m,male,5,005,100005,Record # :005,1/5/13,11/12/13,11/12/13,1-5-13,11-12-13,11-12-13,2013-01-05,Saturday,Sat,Saturday,AAAA,EEEE,aaaa,eeee,AAAA,,m,m,male
6,006,100006,Record # :006,1/6/13,11/12/13,11/12/13,1-6-13,11-12-13,11-12-13,2013-01-06,Sunday,Sun,Sunday,AAAA,FFFF,aaaa,ffff,AAAA,,f,f,female,6,006,100006,Record # :006,1/6/13,11/12/13,11/12/13,1-6-13,11-12-13,11-12-13,2013-01-06,Sunday,Sun,Sunday,AAAA,FFFF,aaaa,ffff,AAAA,,f,f,female,6,006,100006,Record # :006,1/6/13,11/12/13,11/12/13,1-6-13,11-12-13,11-12-13,2013-01-06,Sunday,Sun,Sunday,AAAA,FFFF,aaaa,ffff,AAAA,,f,f,female
7,007,100007,Record # :007,1/7/13,11/12/13,11/12/13,1-7-13,11-12-13,11-12-13,2013-01-07,Monday,Mon,Monday,AAAA,GGGG,aaaa,gggg,AAAA,,m,b,boy,7,007,100007,Record # :007,1/7/13,11/12/13,11/12/13,1-7-13,11-12-13,11-12-13,2013-01-07,Monday,Mon,Monday,AAAA,GGGG,aaaa,gggg,AAAA,,m,b,boy,7,007,100007,Record # :007,1/7/13,11/12/13,11/12/13,1-7-13,11-12-13,11-12-13,2013-01-07,Monday,Mon,Monday,AAAA,GGGG,aaaa,gggg,AAAA,,m,b,boy
8,008,100008,Record # :008,1/8/13,11/12/13,11/12/13,1-8-13,11-12-13,11-12-13,2013-01-08,Tuesday,Tue,Tuesday,AAAA,HHHH,aaaa,hhhh,AAAA,,f,g,girl,8,008,100008,Record # :008,1/8/13,11/12/13,11/12/13,1-8-13,11-12-13,11-12-13,2013-01-08,Tuesday,Tue,Tuesday,AAAA,HHHH,aaaa,hhhh,AAAA,,f,g,girl,8,008,100008,Record # :008,1/8/13,11/12/13,11/12/13,1-8-13,11-12-13,11-12-13,2013-01-08,Tuesday,Tue,Tuesday,AAAA,HHHH,aaaa,hhhh,AAAA,,f,g,girl
9,009,100009,Record # :009,1/9/13,11/12/13,11/12/13,1-9-13,11-12-13,not a date,2013-01-09,Wednesday,Wed,Wednesday,AAAA,IIII,aaaa,iiii,AAAA,,m,m,man,9,009,100009,Record # :009,1/9/13,11/12/13,11/12/13,1-9-13,11-12-13,not a date,2013-01-09,Wednesday,Wed,Wednesday,AAAA,IIII,aaaa,iiii,AAAA,,m,m,man,9,009,100009,Record # :009,1/9/13,11/12/13,11/12/13,1-9-13,11-12-13,not a date,2013-01-09,Wednesday,Wed,Wednesday,AAAA,IIII,aaaa,iiii,AAAA,,m,m,man
10,010,100010,Record # :010,1/10/13,11/12/13,not a date,1-10-13,11-12-13,not a date,2013-01-10,Thursday,Thu,BadDay,AAAA,JJJJ,aaaa,jjjj,AAAA,,f,f,friend,10,010,100010,Record # :010,1/10/13,11/12/13,not a date,1-10-13,11-12-13,not a date,2013-01-10,Thursday,Thu,BadDay,AAAA,JJJJ,aaaa,jjjj,AAAA,,f,f,friend,10,010,100010,Record # :010,1/10/13,11/12/13,not a date,1-10-13,11-12-13,not a date,2013-01-10,Thursday,Thu,BadDay,AAAA,JJJJ,aaaa,jjjj,AAAA,,f,f,friend
11,011,100011,Record # :011,1/11/13,11/12/13,11/12/13,1-11-13,11-12-13,11-12-13,2013-01-11,Friday,Fri,Friday,AAAA,KKKK,aaaa,kkkk,AAAA,,m,b,m,11,011,100011,Record # :011,1/11/13,11/12/13,11/12/13,1-11-13,11-12-13,11-12-13,2013-01-11,Friday,Fri,Friday,AAAA,KKKK,aaaa,kkkk,AAAA,,m,b,m,11,011,100011,Record # :011,1/11/13,11/12/13,11/12/13,1-11-13,11-12-13,11-12-13,2013-01-11,Friday,Fri,Friday,AAAA,KKKK,aaaa,kkkk,AAAA,,m,b,m
12,012,100012,Record # :012,1/12/13,11/12/13,11/12/13,1-12-13,11-12-13,11-12-13,2013-01-12,Saturday,Sat,Saturday,AAAA,LLLL,aaaa,llll,AAAA,,f,g,f,12,012,100012,Record # :012,1/12/13,11/12/13,11/12/13,1-12-13,11-12-13,11-12-13,2013-01-12,Saturday,Sat,Saturday,AAAA,LLLL,aaaa,llll,AAAA,,f,g,f,12,012,100012,Record # :012,1/12/13,11/12/13,11/12/13,1-12-13,11-12-13,11-12-13,2013-01-12,Saturday,Sat,Saturday,AAAA,LLLL,aaaa,llll,AAAA,,f,g,f
13,013,100013,Record # :013,1/13/13,11/12/13,11/12/13,1-13-13,11-12-13,11-12-13,2013-01-13,Sunday,Sun,Sunday,AAAA,MMMM,aaaa,mmmm,AAAA,,m,m,b,13,013,100013,Record # :013,1/13/13,11/12/13,11/12/13,1-13-13,11-12-13,11-12-13,2013-01-13,Sunday,Sun,Sunday,AAAA,MMMM,aaaa,mmmm,AAAA,,m,m,b,13,013,100013,Record # :013,1/13/13,11/12/13,11/12/13,1-13-13,11-12-13,11-12-13,2013-01-13,Sunday,Sun,Sunday,AAAA,MMMM,aaaa,mmmm,AAAA,,m,m,b
14,014,100014,Record # :014,1/14/13,11/12/13,11/12/13,1-14-13,11-12-13,11-12-13,2013-01-14,Monday,Mon,Monday,AAAA,NNNN,aaaa,nnnn,AAAA,,f,f,g,14,014,100014,Record # :014,1/14/13,11/12/13,11/12/13,1-14-13,11-12-13,11-12-13,2013-01-14,Monday,Mon,Monday,AAAA,NNNN,aaaa,nnnn,AAAA,,f,f,g,14,014,100014,Record # :014,1/14/13,11/12/13,11/12/13,1-14-13,11-12-13,11-12-13,2013-01-14,Monday,Mon,Monday,AAAA,NNNN,aaaa,nnnn,AAAA,,f,f,g
15,015,100015,Record # :015,1/15/13,11/12/13,11/12/13,1-15-13,11-12-13,11-12-13,2013-01-15,Tuesday,Tue,Tuesday,AAAA,OOOO,aaaa,oooo,AAAA,,m,b,male,15,015,100015,Record # :015,1/15/13,11/12/13,11/12/13,1-15-13,11-12-13,11-12-13,2013-01-15,Tuesday,Tue,Tuesday,AAAA,OOOO,aaaa,oooo,AAAA,,m,b,male,15,015,100015,Record # :015,1/15/13,11/12/13,11/12/13,1-15-13,11-12-13,11-12-13,2013-01-15,Tuesday,Tue,Tuesday,AAAA,OOOO,aaaa,oooo,AAAA,,m,b,male
16,016,100016,Record # :016,1/16/13,11/12/13,11/12/13,1-16-13,11-12-13,11-12-13,2013-01-16,Wednesday,Wed,Wednesday,AAAA,PPPP,aaaa,pppp,AAAA,,f,g,female,16,016,100016,Record # :016,1/16/13,11/12/13,11/12/13,1-16-13,11-12-13,11-12-13,2013-01-16,Wednesday,Wed,Wednesday,AAAA,PPPP,aaaa,pppp,AAAA,,f,g,female,16,016,100016,Record # :016,1/16/13,11/12/13,11/12/13,1-16-13,11-12-13,11-12-13,2013-01-16,Wednesday,Wed,Wednesday,AAAA,PPPP,aaaa,pppp,AAAA,,f,g,female
17,017,100017,Record # :017,1/17/13,11/12/13,11/12/13,1-17-13,11-12-13,11-12-13,2013-01-17,Thursday,Thu,Thursday,AAAA,QQQQ,aaaa,qqqq,AAAA,,m,m,boy,17,017,100017,Record # :017,1/17/13,11/12/13,11/12/13,1-17-13,11-12-13,11-12-13,2013-01-17,Thursday,Thu,Thursday,AAAA,QQQQ,aaaa,qqqq,AAAA,,m,m,boy,17,017,100017,Record # :017,1/17/13,11/12/13,11/12/13,1-17-13,11-12-13,11-12-13,2013-01-17,Thursday,Thu,Thursday,AAAA,QQQQ,aaaa,qqqq,AAAA,,m,m,boy
18,018,100018,Record # :018,1/18/13,11/12/13,11/12/13,1-18-13,11-12-13,11-12-13,2013-01-18,Friday,Fri,Friday,AAAA,RRRR,aaaa,rrrr,AAAA,,f,f,girl,18,018,100018,Record # :018,1/18/13,11/12/13,11/12/13,1-18-13,11-12-13,11-12-13,2013-01-18,Friday,Fri,Friday,AAAA,RRRR,aaaa,rrrr,AAAA,,f,f,girl,18,018,100018,Record # :018,1/18/13,11/12/13,11/12/13,1-18-13,11-12-13,11-12-13,2013-01-18,Friday,Fri,Friday,AAAA,RRRR,aaaa,rrrr,AAAA,,f,f,girl
19,019,100019,Record # :019,1/19/13,11/12/13,11/12/13,1-19-13,11-12-13,not a date,2013-01-19,Saturday,Sat,Saturday,AAAA,SSSS,aaaa,ssss,AAAA,,m,b,man,19,019,100019,Record # :019,1/19/13,11/12/13,11/12/13,1-19-13,11-12-13,not a date,2013-01-19,Saturday,Sat,Saturday,AAAA,SSSS,aaaa,ssss,AAAA,,m,b,man,19,019,100019,Record # :019,1/19/13,11/12/13,11/12/13,1-19-13,11-12-13,not a date,2013-01-19,Saturday,Sat,Saturday,AAAA,SSSS,aaaa,ssss,AAAA,,m,b,man
20,020,100020,Record # :020,1/20/13,11/12/13,not a date,1-20-13,11-12-13,not a date,2013-01-20,Sunday,Sun,BadDay,AAAA,TTTT,aaaa,tttt,AAAA,,f,g,friend,20,020,100020,Record # :020,1/20/13,11/12/13,not a date,1-20-13,11-12-13,not a date,2013-01-20,Sunday,Sun,BadDay,AAAA,TTTT,aaaa,tttt,AAAA,,f,g,friend,20,020,100020,Record # :020,1/20/13,11/12/13,not a date,1-20-13,11-12-13,not a date,2013-01-20,Sunday,Sun,BadDay,AAAA,TTTT,aaaa,tttt,AAAA,,f,g,friend
21,021,100021,Record # :021,1/21/13,11/12/13,11/12/13,1-21-13,11-12-13,11-12-13,2013-01-21,Monday,Mon,Monday,AAAA,UUUU,aaaa,uuuu,AAAA,,m,m,m,21,021,100021,Record # :021,1/21/13,11/12/13,11/12/13,1-21-13,11-12-13,11-12-13,2013-01-21,Monday,Mon,Monday,AAAA,UUUU,aaaa,uuuu,AAAA,,m,m,m,21,021,100021,Record # :021,1/21/13,11/12/13,11/12/13,1-21-13,11-12-13,11-12-13,2013-01-21,Monday,Mon,Monday,AAAA,UUUU,aaaa,uuuu,AAAA,,m,m,m
22,022,100022,Record # :022,1/22/13,11/12/13,11/12/13,1-22-13,11-12-13,11-12-13,2013-01-22,Tuesday,Tue,Tuesday,AAAA,VVVV,aaaa,vvvv,AAAA,,f,f,f,22,022,100022,Record # :022,1/22/13,11/12/13,11/12/13,1-22-13,11-12-13,11-12-13,2013-01-22,Tuesday,Tue,Tuesday,AAAA,VVVV,aaaa,vvvv,AAAA,,f,f,f,22,022,100022,Record # :022,1/22/13,11/12/13,11/12/13,1-22-13,11-12-13,11-12-13,2013-01-22,Tuesday,Tue,Tuesday,AAAA,VVVV,aaaa,vvvv,AAAA,,f,f,f
23,023,100023,Record # :023,1/23/13,11/12/13,11/12/13,1-23-13,11-12-13,11-12-13,2013-01-23,Wednesday,Wed,Wednesday,AAAA,WWWW,aaaa,wwww,AAAA,,m,b,b,23,023,100023,Record # :023,1/23/13,11/12/13,11/12/13,1-23-13,11-12-13,11-12-13,2013-01-23,Wednesday,Wed,Wednesday,AAAA,WWWW,aaaa,wwww,AAAA,,m,b,b,23,023,100023,Record # :023,1/23/13,11/12/13,11/12/13,1-23-13,11-12-13,11-12-13,2013-01-23,Wednesday,Wed,Wednesday,AAAA,WWWW,aaaa,wwww,AAAA,,m,b,b
24,024,100024,Record # :024,1/24/13,11/12/13,11/12/13,1-24-13,11-12-13,11-12-13,2013-01-24,Thursday,Thu,Thursday,AAAA,XXXX,aaaa,xxxx,AAAA,,f,g,g,24,024,100024,Record # :024,1/24/13,11/12/13,11/12/13,1-24-13,11-12-13,11-12-13,2013-01-24,Thursday,Thu,Thursday,AAAA,XXXX,aaaa,xxxx,AAAA,,f,g,g,24,024,100024,Record # :024,1/24/13,11/12/13,11/12/13,1-24-13,11-12-13,11-12-13,2013-01-24,Thursday,Thu,Thursday,AAAA,XXXX,aaaa,xxxx,AAAA,,f,g,g
25,025,100025,Record # :025,1/25/13,11/12/13,11/12/13,1-25-13,11-12-13,11-12-13,2013-01-25,Friday,Fri,BadDay,AAAA,YYYY,aaaa,yyyy,notuc,,m,m,male,25,025,100025,Record # :025,1/25/13,11/12/13,11/12/13,1-25-13,11-12-13,11-12-13,2013-01-25,Friday,Fri,BadDay,AAAA,YYYY,aaaa,yyyy,notuc,,m,m,male,25,025,100025,Record # :025,1/25/13,11/12/13,11/12/13,1-25-13,11-12-13,11-12-13,2013-01-25,Friday,Fri,BadDay,AAAA,YYYY,aaaa,yyyy,notuc,,m,m,male
26,026,100026,Record # :026,1/26/13,11/12/13,11/12/13,1-26-13,11-12-13,11-12-13,2013-01-26,Saturday,Sat,Saturday,AAAA,AAAA,aaaa,aaaa,AAAA,,f,f,female,26,026,100026,Record # :026,1/26/13,11/12/13,11/12/13,1-26-13,11-12-13,11-12-13,2013-01-26,Saturday,Sat,Saturday,AAAA,AAAA,aaaa,aaaa,AAAA,,f,f,female,26,026,100026,Record # :026,1/26/13,11/12/13,11/12/13,1-26-13,11-12-13,11-12-13,2013-01-26,Saturday,Sat,Saturday,AAAA,AAAA,aaaa,aaaa,AAAA,,f,f,female
27,027,100027,Record # :027,1/27/13,11/12/13,11/12/13,1-27-13,11-12-13,11-12-13,2013-01-27,Sunday,Sun,Sunday,AAAA,BBBB,aaaa,bbbb,AAAA,,m,b,boy,27,027,100027,Record # :027,1/27/13,11/12/13,11/12/13,1-27-13,11-12-13,11-12-13,2013-01-27,Sunday,Sun,Sunday,AAAA,BBBB,aaaa,bbbb,AAAA,,m,b,boy,27,027,100027,Record # :027,1/27/13,11/12/13,11/12/13,1-27-13,11-12-13,11-12-13,2013-01-27,Sunday,Sun,Sunday,AAAA,BBBB,aaaa,bbbb,AAAA,,m,b,boy
28,028,100028,Record # :028,1/28/13,11/12/13,11/12/13,1-28-13,11-12-13,11-12-13,2013-01-28,Monday,Mon,Monday,AAAA,CCCC,aaaa,cccc,AAAA,,f,g,girl,28,028,100028,Record # :028,1/28/13,11/12/13,11/12/13,1-28-13,11-12-13,11-12-13,2013-01-28,Monday,Mon,Monday,AAAA,CCCC,aaaa,cccc,AAAA,,f,g,girl,28,028,100028,Record # :028,1/28/13,11/12/13,11/12/13,1-28-13,11-12-13,11-12-13,2013-01-28,Monday,Mon,Monday,AAAA,CCCC,aaaa,cccc,AAAA,,f,g,girl
29,029,100029,Record # :029,1/29/13,11/12/13,11/12/13,1-29-13,11-12-13,not a date,2013-01-29,Tuesday,Tue,Tuesday,AAAA,DDDD,aaaa,dddd,AAAA,,m,m,man,29,029,100029,Record # :029,1/29/13,11/12/13,11/12/13,1-29-13,11-12-13,not a date,2013-01-29,Tuesday,Tue,Tuesday,AAAA,DDDD,aaaa,dddd,AAAA,,m,m,man,29,029,100029,Record # :029,1/29/13,11/12/13,11/12/13,1-29-13,11-12-13,not a date,2013-01-29,Tuesday,Tue,Tuesday,AAAA,DDDD,aaaa,dddd,AAAA,,m,m,man
30,030,100030,Record # :030,1/30/13,11/12/13,not a date,1-30-13,11-12-13,not a date,2013-01-30,Wednesday,Wed,BadDay,AAAA,EEEE,aaaa,eeee,AAAA,,f,f,friend,30,030,100030,Record # :030,1/30/13,11/12/13,not a date,1-30-13,11-12-13,not a date,2013-01-30,Wednesday,Wed,BadDay,AAAA,EEEE,aaaa,eeee,AAAA,,f,f,friend,30,030,100030,Record # :030,1/30/13,11/12/13,not a date,1-30-13,11-12-13,not a date,2013-01-30,Wednesday,Wed,BadDay,AAAA,EEEE,aaaa,eeee,AAAA,,f,f,friend
31,031,100031,Record # :031,1/31/13,11/12/13,11/12/13,1-31-13,11-12-13,11-12-13,2013-01-31,Thursday,Thu,Thursday,AAAA,FFFF,aaaa,ffff,AAAA,,m,b,m,31,031,100031,Record # :031,1/31/13,11/12/13,11/12/13,1-31-13,11-12-13,11-12-13,2013-01-31,Thursday,Thu,Thursday,AAAA,FFFF,aaaa,ffff,AAAA,,m,b,m,31,031,100031,Record # :031,1/31/13,11/12/13,11/12/13,1-31-13,11-12-13,11-12-13,2013-01-31,Thursday,Thu,Thursday,AAAA,FFFF,aaaa,ffff,AAAA,,m,b,m
